"X","correctedspeciesname","catalognumber","n","dex","sin","X.dex","X.sin","island.x","correctedlocality","decimallatitudeUSE","decimallongitudeUSE","coordinateuncertaintyinMetersUSE","snailRichness","bio1","bio12","elev","Species","birdRichness","species","island.y","mass","height","width","ratio","sum","geomean","volume","log_volume","size","log_size","log_mass","shellDim","relativeMass","relativeRatio","bio1_sc","bio12_sc","elev_sc","meanMass_sc","ratio_sc","snailRichness_sc","birdRichness_sc","meanHeight_sc","meanWidth_sc","shellDim_sc","relativeMass_sc","relativeRatio_sc","scientificName","siteID","PD","SR","MPD"
1,"Auriculella ambusta","17016",3,NA,3,0,1,"Oahu","Waianae Mts.; Palehua; Maunuwai Valley, bottom of",21.381961,-158.099893,301,1,20.49538230896,1050.13024902344,488.608154296875,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,0.0564052446361016,-1.34241493228578,0.257198234698011,0.936337374742084,-0.564596232470847,-1.36004609544971,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",1,0.02459,2,0.01961
2,"Auriculella ambusta","133825",6,NA,6,0,1,"Oahu","Waianae Mountains; Kaloi = Palihua {=Palehua} Ridge between upper branches of Kaloi Gulch",21.388135,-158.097683,1454,3,20.1661109924316,1084.5859375,528.15234375,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.161305700741793,-1.30952919685453,0.458334729899647,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",2,0.02943,3,0.0163
3,"Auriculella ambusta","133829",5,NA,5,0,1,"Oahu","Waianae Mountains; Kaloi = Palehua; Von Holt place; top of ridge",21.388694,-158.097125,1311,3,20.1661109924316,1084.5859375,528.15234375,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.161305700741793,-1.30952919685453,0.458334729899647,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",3,0.02943,3,0.0163
4,"Auriculella ambusta","59313",27,NA,27,0,1,"Oahu","Waianae Mts.; Palehuaiki; S.W. slope",21.389138,-158.093866,1048,3,19.6497592926025,1064.53869628906,568.725280761719,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.502712349527758,-1.32866299738903,0.664703818846265,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",4,0.02943,3,0.0163
5,"Auriculella ambusta","79662",1,NA,1,0,1,"Oahu","Waianae Mts.; Palehuaiki",21.393667,-158.099629,719,3,19.7958564758301,1103.15588378906,631.4052734375,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.406114333603163,-1.29180537917346,0.983517637524108,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",5,0.02943,3,0.0163
6,"Auriculella ambusta","16848",1,NA,1,0,1,"Oahu","Waianae Mts.; Palehuaiki; near Green Peak",21.393846,-158.097997,534,3,19.6671810150146,1110.84887695312,664.682678222656,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.491193278579089,-1.28446291268814,1.15277892876455,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",6,0.02943,3,0.0163
7,"Auriculella ambusta","183531",2,NA,2,0,1,"Oahu","Waianae Mountains; Central Nanakuli",21.39436667,-158.1205667,NA,1,23.075813293457,937.983154296875,210.950256347656,"ambusta",8,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,1.76256074897974,-1.44945211103985,-1.15507338424008,0.936337374742084,-0.564596232470847,-1.36004609544971,-3.64280130057558,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",7,0.007,0,NA
8,"Auriculella ambusta","191500",9,6,3,0.666666667,0.333333333,"Oahu","Waianae Mountains; Palehuaiki?",21.394986,-158.099286,2275,3,19.5243663787842,1109.91271972656,654.584350585938,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.585620906820011,-1.28535641446494,1.10141506832545,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",8,0.02943,3,0.0163
9,"Auriculella ambusta","123420",14,NA,14,0,1,"Oahu","Waianae Mountains; Kaloi Gulch 5>6; Palehua Loc. W490A-1",21.39586035,-158.0995361,100,3,19.5243663787842,1109.91271972656,654.584350585938,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.585620906820011,-1.28535641446494,1.10141506832545,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",9,0.02943,3,0.0163
10,"Auriculella ambusta","123424",8,NA,8,0,1,"Oahu","Waianae Mountains; Kaloi Gulch 5>6; Palehua Loc. W490A-1",21.39586035,-158.0995361,100,3,19.5243663787842,1109.91271972656,654.584350585938,"ambusta",9,"A. ambusta","Oahu",0.0474,8.71,4.53,1.922737307,13.24,6.281424998,46.79324739,3.845738906,178.737039,2.252214559,-1.324221658,178.737039,0.0967697863371467,-0.199182100365953,-0.585620906820011,-1.28535641446494,1.10141506832545,0.936337374742084,-0.564596232470847,-0.861371371220734,-0.0173604509955946,0.592444021048725,0.909842406364,0.913814109291376,0.378256687076055,-0.845049420948503,"Auriculella_ambusta",9,0.02943,3,0.0163
